nom_de_couleur,caldera_cyan,caldera_magenta,caldera_jaune,caldera_noir,deuxCM7_cyan,deuxCM7_magenta,deuxCM7_jaune,deuxCM7_noir
PANTONE 560 C,85.00,46.00,80.00,0.00,85.00,46.00,80.00,0.00
PANTONE 561 C,80.00,12.00,60.00,0.00,74.00,5.00,60.00,0.00
PANTONE 5615 C,56.00,31.00,59.00,0.00,62.00,32.00,60.00,0.00
PANTONE 562 C,78.00,6.00,62.00,0.00,72.00,0.00,62.00,0.00
PANTONE 563 C,34.00,0.00,23.00,0.00,30.00,0.00,20.00,0.00
PANTONE 5635 C,26.00,12.00,23.00,0.00,26.00,12.00,20.00,0.00
PANTONE 564 C,22.00,0.00,18.00,0.00,17.50,0.00,10.50,0.00
PANTONE 567 C,80.00,36.00,80.00,0.00,80.00,36.00,80.00,0.00
PANTONE 568 C,73.00,10.00,60.00,0.00,73.00,10.00,60.00,0.00
PANTONE 570 C,26.00,0.00,17.00,0.00,23.00,0.00,10.00,0.00
PANTONE 571 C,11.00,0.00,7.00,0.00,11.00,0.00,7.00,0.00
PANTONE 574 C,61.00,38.00,91.00,0.00,66.00,38.00,80.00,0.00
PANTONE 5743 C,70.00,50.00,100.00,0.00,70.00,50.00,100.00,0.00
PANTONE 5747 C,72.00,50.00,100.00,0.00,72.00,50.00,100.00,0.00
PANTONE 575 C,32.00,16.00,71.00,0.00,38.00,16.00,60.00,0.00
PANTONE 5753 C,48.00,30.00,82.00,24.00,48.00,30.00,82.00,24.00
PANTONE 5757 C,43.00,26.00,82.00,0.00,43.00,26.00,82.00,0.00
PANTONE 576 C,35.00,12.00,90.00,0.00,37.00,8.00,72.00,0.00
PANTONE 5763 C,44.00,28.00,70.00,0.00,44.00,28.00,70.00,0.00
PANTONE 577 C,10.00,2.00,20.00,0.00,6.00,2.00,13.00,0.00
PANTONE 5773 C,2.00,0.00,43.00,22.00,29.00,16.00,38.00,0.00
PANTONE 5777 C,18.00,11.00,41.00,0.00,20.00,11.00,43.00,0.00
PANTONE 5777 U,20.00,10.00,31.00,0.00,20.00,10.00,31.00,0.00
PANTONE 578 C,13.00,3.00,27.00,0.00,8.00,3.00,23.00,0.00
